,Date (LST),Year,Month,Day,Hour,Value,QC Name
0,1/1/2016 0:00,2016,1,1,0,231,Valid
1,1/1/2016 1:00,2016,1,1,1,239,Valid
2,1/1/2016 2:00,2016,1,1,2,205,Valid
3,1/1/2016 3:00,2016,1,1,3,167,Valid
4,1/1/2016 4:00,2016,1,1,4,132,Valid
5,1/1/2016 5:00,2016,1,1,5,169,Valid
6,1/1/2016 6:00,2016,1,1,6,162,Valid
7,1/1/2016 7:00,2016,1,1,7,123,Valid
8,1/1/2016 8:00,2016,1,1,8,100,Valid
9,1/1/2016 9:00,2016,1,1,9,101,Valid
10,1/1/2016 10:00,2016,1,1,10,111,Valid
11,1/1/2016 11:00,2016,1,1,11,115,Valid
12,1/1/2016 12:00,2016,1,1,12,135,Valid
13,1/1/2016 13:00,2016,1,1,13,165,Valid
14,1/1/2016 14:00,2016,1,1,14,176,Valid
15,1/1/2016 15:00,2016,1,1,15,187,Valid
16,1/1/2016 16:00,2016,1,1,16,207,Valid
17,1/1/2016 17:00,2016,1,1,17,235,Valid
18,1/1/2016 18:00,2016,1,1,18,268,Valid
19,1/1/2016 19:00,2016,1,1,19,302,Valid
20,1/1/2016 20:00,2016,1,1,20,330,Valid
21,1/1/2016 21:00,2016,1,1,21,345,Valid
22,1/1/2016 22:00,2016,1,1,22,375,Valid
23,1/1/2016 23:00,2016,1,1,23,400,Valid
24,1/2/2016 0:00,2016,1,2,0,362,Valid
25,1/2/2016 1:00,2016,1,2,1,321,Valid
26,1/2/2016 2:00,2016,1,2,2,230,Valid
27,1/2/2016 3:00,2016,1,2,3,225,Valid
28,1/2/2016 4:00,2016,1,2,4,198,Valid
29,1/2/2016 5:00,2016,1,2,5,191,Valid
30,1/2/2016 6:00,2016,1,2,6,199,Valid
31,1/2/2016 7:00,2016,1,2,7,206,Valid
32,1/2/2016 8:00,2016,1,2,8,230,Valid
33,1/2/2016 9:00,2016,1,2,9,279,Valid
34,1/2/2016 10:00,2016,1,2,10,199,Valid
35,1/2/2016 11:00,2016,1,2,11,220,Valid
36,1/2/2016 12:00,2016,1,2,12,222,Valid
37,1/2/2016 13:00,2016,1,2,13,220,Valid
38,1/2/2016 14:00,2016,1,2,14,198,Valid
39,1/2/2016 15:00,2016,1,2,15,208,Valid
40,1/2/2016 16:00,2016,1,2,16,240,Valid
41,1/2/2016 17:00,2016,1,2,17,293,Valid
